userID;fecha
anom;13/09/2024_13:28
unixTimestamp;Timestamp;Situacion;Accion;Objeto
1726226887,95149;,19008;Test1;ENTRA_HEAD;Grass: Part of the level
1726226897,59261;9,83110;Test1;SALE_HEAD;Grass: Part of the level
1726226898,11253;10,35077;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226900,31689;12,55567;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226900,42836;12,66737;Test1;ENTRA_HEAD;Table: Part of -------STATIC LEVEL--------
1726226902,67381;14,91274;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226903,32833;15,56717;Test1;ENTRA_HEAD;Platform: Part of -------STATIC LEVEL--------
1726226906,58654;18,82482;Test1;SALE_HEAD;Platform: Part of -------STATIC LEVEL--------
1726226907,90868;20,14739;Test1;ENTRA_HEAD;Table: Part of -------STATIC LEVEL--------
1726226907,99295;20,23224;Test1;SALE_HEAD;Table: Part of -------STATIC LEVEL--------
1726226908,08960;20,32852;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226910,41551;22,65386;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226913,85364;26,09271;Test1;ENTRA_HEAD;attach: Part of ArduinoHighMats
1726226913,99311;26,23185;Test1;SALE_HEAD;attach: Part of ArduinoHighMats
1726226914,00644;26,24561;Test1;ENTRA_HEAD;attach: Part of ArduinoHighMats
1726226914,02136;26,26061;Test1;SALE_HEAD;attach: Part of ArduinoHighMats
1726226914,03467;26,27367;Test1;ENTRA_HEAD;attach: Part of ArduinoHighMats
1726226914,06235;26,30165;Test1;SALE_HEAD;attach: Part of ArduinoHighMats
1726226915,53800;27,77730;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226916,93147;29,17013;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226918,07202;30,31124;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226918,93599;31,17446;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226922,91742;35,15694;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226922,95857;35,19791;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226923,26540;35,50403;Test1;ENTRA_HEAD;Table: Part of -------STATIC LEVEL--------
1726226923,43211;35,67107;Test1;SALE_HEAD;attach: Part of ArduinoHighMats
1726226923,50179;35,74107;Test1;ENTRA_HEAD;attach: Part of ArduinoHighMats
1726226923,54328;35,78263;Test1;SALE_HEAD;attach: Part of ArduinoHighMats
1726226923,62715;35,86588;Test1;ENTRA_HEAD;attach: Part of ArduinoHighMats
1726226926,63433;38,87335;Test1;SALE_HEAD;attach3: Part of ArduinoCompleto
1726226926,92604;39,16537;Test1;ENTRA_HEAD;attach3: Part of ArduinoCompleto
1726226928,26314;40,50216;Test1;SALE_HEAD;attach3: Part of ArduinoCompleto
1726226928,29057;40,52999;Test1;ENTRA_HEAD;attach3: Part of ArduinoCompleto
1726226935,04371;47,28297;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226935,19678;47,43567;Test1;ENTRA_HEAD;Table: Part of -------STATIC LEVEL--------
1726226935,43261;47,67196;Test1;SALE_HEAD;Table: Part of -------STATIC LEVEL--------
1726226935,69814;47,93690;Test1;ENTRA_HEAD;Platform: Part of -------STATIC LEVEL--------
1726226935,93383;48,17340;Test1;SALE_HEAD;Platform: Part of -------STATIC LEVEL--------
1726226938,78831;51,02708;Test1;ENTRA_HEAD;Platform: Part of -------STATIC LEVEL--------
1726226938,87122;51,11093;Test1;SALE_HEAD;Platform: Part of -------STATIC LEVEL--------
1726226938,98301;51,22203;Test1;ENTRA_HEAD;Table: Part of -------STATIC LEVEL--------
1726226939,16420;51,40317;Test1;SALE_HEAD;Table: Part of -------STATIC LEVEL--------
1726226943,79989;56,03953;Test1;ENTRA_HEAD;BaseShield: Part of BaseShield
1726226943,84178;56,08127;Test1;SALE_HEAD;BaseShield: Part of BaseShield
1726226946,87691;59,11671;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226948,61668;60,85648;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226949,89762;62,13663;Test1;ENTRA_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226949,96668;62,20620;Test1;SALE_HEAD;Center Wall: Part of -------STATIC LEVEL--------
1726226950,09291;62,33185;Test1;ENTRA_HEAD;Table: Part of -------STATIC LEVEL--------
