userID;fecha
anom;06/09/2024_10:19
unixTimestamp;Timestamp;Situacion;Accion;Objeto
1725610743,46122;,08840;Test1;ENTRA_HEAD;Center Wall: Part of Player Area
1725610749,35204;5,98000;Test1;SALE_HEAD;Center Wall: Part of Player Area
1725610762,37280;19,00045;Test1;ENTRA_HEAD;Limit (16): Part of the level
1725610762,44298;19,07019;Test1;SALE_HEAD;Limit (17): Part of the level
1725610763,84488;20,47297;Test1;ENTRA_HEAD;ForwardBlock(Clone): Part of a Block
1725610763,91371;20,54185;Test1;SALE_HEAD;ForwardBlock(Clone): Part of a Block
1725610766,31289;22,94057;Test1;ENTRA_HEAD;ForwardBlock(Clone): Part of a Block
1725610766,40021;23,02771;Test1;SALE_HEAD;ForwardBlock(Clone): Part of a Block
1725610768,58167;25,20935;Test1;ENTRA_HEAD;ForwardBlock(Clone): Part of a Block
1725610768,60367;25,23149;Test1;SALE_HEAD;ForwardBlock(Clone): Part of a Block
1725610770,56718;27,19494;Test1;ENTRA_HEAD;Limit (16): Part of the level
1725610770,60908;27,23700;Test1;SALE_HEAD;Limit (16): Part of the level
1725610770,63710;27,26440;Test1;ENTRA_HEAD;Limit (16): Part of the level
1725610770,77572;27,40335;Test1;SALE_HEAD;Limit (17): Part of the level
1725610771,82968;28,45769;Test1;ENTRA_HEAD;Limit (20): Part of the level
1725610773,52663;30,15445;Test1;SALE_HEAD;Limit (21): Part of the level
1725610774,28921;30,91638;Test1;ENTRA_HEAD;Limit (20): Part of the level
1725610774,88658;31,51407;Test1;SALE_HEAD;Limit (18): Part of the level
1725610774,98442;31,61170;Test1;ENTRA_HEAD;Limit (17): Part of the level
1725610775,42806;32,05563;Test1;SALE_HEAD;Limit (17): Part of the level
1725610775,47921;32,10672;Test1;ENTRA_HEAD;Rock: Part of the level
1725610776,39616;33,02368;Test1;SALE_HEAD;Limit (19): Part of the level
1725610778,85913;35,48713;Test1;ENTRA_HEAD;Limit (14): Part of the level
1725610780,77519;37,40323;Test1;SALE_HEAD;Limit (23): Part of the level
1725610782,69099;39,31840;Test1;ENTRA_HEAD;Limit (23): Part of the level
1725610790,91326;47,54063;Test1;SALE_HEAD;Limit (13): Part of the level
